Date,demand
2014-10-01,15
2014-10-02,7
2014-10-03,8
2014-10-04,10
2014-10-05,13
2014-10-06,5
2014-10-07,12
2014-10-08,12
2014-10-09,13
2014-10-10,13
2014-10-11,13
2014-10-12,14
2014-10-13,12
2014-10-14,13
2014-10-15,12
2014-10-16,13
2014-10-17,12
2014-10-18,20
2014-10-19,18
2014-10-20,21
2014-10-21,22
2014-10-22,21
2014-10-23,22
2014-10-24,21
2014-10-25,20
2014-10-26,22
2014-10-27,22
2014-10-28,18
2014-10-29,21
2014-10-30,21
2014-10-31,22
2014-11-01,22
2014-11-02,21
2014-11-03,21
2014-11-04,18
2014-11-05,22
2014-11-06,22
2014-11-07,20
2014-11-08,10
2014-11-09,12
2014-11-10,13
2014-11-11,12
2014-11-12,13
2014-11-13,13
2014-11-14,13
2014-11-15,12
2014-11-16,13
2014-11-17,12
2014-11-18,12
2014-11-19,12
2014-11-20,13
2014-11-21,14
2014-11-22,12
2014-11-23,20
2014-11-24,21
2014-11-25,21
2014-11-26,12
2014-11-27,13
2014-11-28,13
2014-11-29,22
2014-11-30,21
2014-12-01,6
2014-12-02,7
2014-12-03,6
2014-12-04,5
2014-12-05,7
2014-12-06,10
2014-12-07,12
2014-12-08,10
2014-12-09,10
2014-12-10,10
2014-12-11,7
2014-12-12,5
2014-12-13,12
2014-12-14,10
2014-12-15,10
2014-12-16,10
2014-12-17,10
2014-12-18,7
2014-12-19,12
2014-12-20,10
2014-12-21,10
2014-12-22,10
2014-12-23,10
2014-12-24,7
2014-12-25,5
2014-12-26,6
2014-12-27,10
2014-12-28,6
2014-12-29,7
2014-12-30,7
2014-12-31,7
2015-01-01,7
2015-01-02,8
2015-01-03,8
2015-01-04,10
2015-01-05,12
2015-01-06,13
2015-01-07,13
2015-01-08,20
2015-01-09,21
2015-01-10,21
2015-01-11,13
2015-01-12,13
2015-01-13,13
2015-01-14,12
2015-01-15,13
2015-01-16,12
2015-01-17,20
2015-01-18,10
2015-01-19,18
2015-01-20,22
2015-01-21,22
2015-01-22,21
2015-01-23,17
